2021-09-13 17:03:28 API died, spawning replacement...
2021-09-13 17:03:29 Daemon died, spawning replacement...
2021-09-13 17:03:29 chartsDataCollector died, spawning replacement...
2021-09-13 17:03:29 Daemon died, spawning replacement...
2021-09-13 17:03:30 Daemon died, spawning replacement...
2021-09-13 17:03:32 Daemon died, spawning replacement...
2021-09-13 17:03:33 chartsDataCollector died, spawning replacement...
2021-09-13 17:03:33 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:03:34 Daemon died, spawning replacement...
2021-09-13 17:03:34 API died, spawning replacement...
2021-09-13 17:03:34 Daemon died, spawning replacement...
2021-09-13 17:03:35 Daemon died, spawning replacement...
2021-09-13 17:03:36 chartsDataCollector died, spawning replacement...
2021-09-13 17:03:37 Daemon died, spawning replacement...
2021-09-13 17:03:39 Daemon died, spawning replacement...
2021-09-13 17:03:39 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:03:39 chartsDataCollector died, spawning replacement...
2021-09-13 17:04:42 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:10:31 chartsDataCollector died, spawning replacement...
2021-09-13 17:10:31 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:10:31 Daemon died, spawning replacement...
2021-09-13 17:10:31 API died, spawning replacement...
2021-09-13 17:10:32 Daemon died, spawning replacement...
2021-09-13 17:10:33 Daemon died, spawning replacement...
2021-09-13 17:10:33 Daemon died, spawning replacement...
2021-09-13 17:10:35 Daemon died, spawning replacement...
2021-09-13 17:10:35 chartsDataCollector died, spawning replacement...
2021-09-13 17:10:36 Daemon died, spawning replacement...
2021-09-13 17:10:38 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:10:38 API died, spawning replacement...
2021-09-13 17:10:38 Daemon died, spawning replacement...
2021-09-13 17:10:38 chartsDataCollector died, spawning replacement...
2021-09-13 17:10:39 Daemon died, spawning replacement...
2021-09-13 17:10:39 Daemon died, spawning replacement...
2021-09-13 17:10:40 Daemon died, spawning replacement...
2021-09-13 17:10:41 Daemon died, spawning replacement...
2021-09-13 17:10:42 chartsDataCollector died, spawning replacement...
2021-09-13 17:10:43 Daemon died, spawning replacement...
2021-09-13 17:10:44 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:10:44 API died, spawning replacement...
2021-09-13 17:10:44 Daemon died, spawning replacement...
2021-09-13 17:10:45 chartsDataCollector died, spawning replacement...
2021-09-13 17:10:45 Daemon died, spawning replacement...
2021-09-13 17:10:46 Daemon died, spawning replacement...
2021-09-13 17:10:46 Daemon died, spawning replacement...
2021-09-13 17:10:48 Daemon died, spawning replacement...
2021-09-13 17:10:48 chartsDataCollector died, spawning replacement...
2021-09-13 17:10:50 Daemon died, spawning replacement...
2021-09-13 17:10:50 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:10:50 API died, spawning replacement...
2021-09-13 17:10:51 chartsDataCollector died, spawning replacement...
2021-09-13 17:10:51 Daemon died, spawning replacement...
2021-09-13 17:10:52 Daemon died, spawning replacement...
2021-09-13 17:10:52 Daemon died, spawning replacement...
2021-09-13 17:10:53 Daemon died, spawning replacement...
2021-09-13 17:10:55 chartsDataCollector died, spawning replacement...
2021-09-13 17:10:55 Daemon died, spawning replacement...
2021-09-13 17:10:56 API died, spawning replacement...
2021-09-13 17:10:56 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:10:57 Daemon died, spawning replacement...
2021-09-13 17:10:57 chartsDataCollector died, spawning replacement...
2021-09-13 17:10:58 Daemon died, spawning replacement...
2021-09-13 17:10:58 Daemon died, spawning replacement...
2021-09-13 17:10:59 Daemon died, spawning replacement...
2021-09-13 17:11:01 Daemon died, spawning replacement...
2021-09-13 17:11:01 chartsDataCollector died, spawning replacement...
2021-09-13 17:11:02 Daemon died, spawning replacement...
2021-09-13 17:11:03 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:11:03 API died, spawning replacement...
2021-09-13 17:11:03 Daemon died, spawning replacement...
2021-09-13 17:11:04 chartsDataCollector died, spawning replacement...
2021-09-13 17:11:04 Daemon died, spawning replacement...
2021-09-13 17:11:04 Daemon died, spawning replacement...
2021-09-13 17:11:06 Daemon died, spawning replacement...
2021-09-13 17:11:07 chartsDataCollector died, spawning replacement...
2021-09-13 17:11:08 Daemon died, spawning replacement...
2021-09-13 17:11:09 API died, spawning replacement...
2021-09-13 17:11:09 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:11:09 Daemon died, spawning replacement...
2021-09-13 17:11:10 Daemon died, spawning replacement...
2021-09-13 17:11:10 chartsDataCollector died, spawning replacement...
2021-09-13 17:11:10 Daemon died, spawning replacement...
2021-09-13 17:11:11 Daemon died, spawning replacement...
2021-09-13 17:11:13 Daemon died, spawning replacement...
2021-09-13 17:11:14 chartsDataCollector died, spawning replacement...
2021-09-13 17:11:15 API died, spawning replacement...
2021-09-13 17:11:15 Daemon died, spawning replacement...
2021-09-13 17:11:15 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:11:15 Daemon died, spawning replacement...
2021-09-13 17:11:16 chartsDataCollector died, spawning replacement...
2021-09-13 17:11:16 Daemon died, spawning replacement...
2021-09-13 17:11:17 Daemon died, spawning replacement...
2021-09-13 17:11:19 Daemon died, spawning replacement...
2021-09-13 17:11:20 chartsDataCollector died, spawning replacement...
2021-09-13 17:11:21 Daemon died, spawning replacement...
2021-09-13 17:11:21 API died, spawning replacement...
2021-09-13 17:11:21 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:11:21 Daemon died, spawning replacement...
2021-09-13 17:11:22 Daemon died, spawning replacement...
2021-09-13 17:11:23 chartsDataCollector died, spawning replacement...
2021-09-13 17:11:23 Daemon died, spawning replacement...
2021-09-13 17:11:24 Daemon died, spawning replacement...
2021-09-13 17:11:26 Daemon died, spawning replacement...
2021-09-13 17:11:26 chartsDataCollector died, spawning replacement...
2021-09-13 17:11:27 API died, spawning replacement...
2021-09-13 17:11:27 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:11:27 Daemon died, spawning replacement...
2021-09-13 17:11:28 Daemon died, spawning replacement...
2021-09-13 17:11:29 Daemon died, spawning replacement...
2021-09-13 17:11:29 chartsDataCollector died, spawning replacement...
2021-09-13 17:11:30 Daemon died, spawning replacement...
2021-09-13 17:11:31 Daemon died, spawning replacement...
2021-09-13 17:11:33 chartsDataCollector died, spawning replacement...
2021-09-13 17:11:33 API died, spawning replacement...
2021-09-13 17:11:33 Daemon died, spawning replacement...
2021-09-13 17:11:33 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:11:34 Daemon died, spawning replacement...
2021-09-13 17:11:34 Daemon died, spawning replacement...
2021-09-13 17:11:35 Daemon died, spawning replacement...
2021-09-13 17:11:36 chartsDataCollector died, spawning replacement...
2021-09-13 17:11:37 Daemon died, spawning replacement...
2021-09-13 17:11:39 Daemon died, spawning replacement...
2021-09-13 17:11:39 chartsDataCollector died, spawning replacement...
2021-09-13 17:11:39 API died, spawning replacement...
2021-09-13 17:11:40 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:11:40 Daemon died, spawning replacement...
2021-09-13 17:11:40 Daemon died, spawning replacement...
2021-09-13 17:11:41 Daemon died, spawning replacement...
2021-09-13 17:11:42 Daemon died, spawning replacement...
2021-09-13 17:11:42 chartsDataCollector died, spawning replacement...
2021-09-13 17:11:44 Daemon died, spawning replacement...
2021-09-13 17:11:46 Daemon died, spawning replacement...
2021-09-13 17:11:46 API died, spawning replacement...
2021-09-13 17:11:46 chartsDataCollector died, spawning replacement...
2021-09-13 17:11:46 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:11:46 Daemon died, spawning replacement...
2021-09-13 17:11:47 Daemon died, spawning replacement...
2021-09-13 17:11:47 Daemon died, spawning replacement...
2021-09-13 17:11:49 Daemon died, spawning replacement...
2021-09-13 17:11:49 chartsDataCollector died, spawning replacement...
2021-09-13 17:11:50 Daemon died, spawning replacement...
2021-09-13 17:11:52 API died, spawning replacement...
2021-09-13 17:11:52 Daemon died, spawning replacement...
2021-09-13 17:11:52 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:11:53 chartsDataCollector died, spawning replacement...
2021-09-13 17:11:53 Daemon died, spawning replacement...
2021-09-13 17:16:16 Daemon died, spawning replacement...
2021-09-13 17:16:16 API died, spawning replacement...
2021-09-13 17:16:16 chartsDataCollector died, spawning replacement...
2021-09-13 17:16:16 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:16:17 Daemon died, spawning replacement...
2021-09-13 17:16:17 Daemon died, spawning replacement...
2021-09-13 17:16:18 Daemon died, spawning replacement...
2021-09-13 17:16:19 Daemon died, spawning replacement...
2021-09-13 17:16:20 chartsDataCollector died, spawning replacement...
2021-09-13 17:16:21 Daemon died, spawning replacement...
2021-09-13 17:16:23 API died, spawning replacement...
2021-09-13 17:16:23 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:16:23 Daemon died, spawning replacement...
2021-09-13 17:16:23 chartsDataCollector died, spawning replacement...
2021-09-13 17:16:23 Daemon died, spawning replacement...
2021-09-13 17:16:24 Daemon died, spawning replacement...
2021-09-13 17:16:24 Daemon died, spawning replacement...
2021-09-13 17:16:26 Daemon died, spawning replacement...
2021-09-13 17:16:27 chartsDataCollector died, spawning replacement...
2021-09-13 17:16:28 Daemon died, spawning replacement...
2021-09-13 17:16:29 API died, spawning replacement...
2021-09-13 17:16:29 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:16:29 Daemon died, spawning replacement...
2021-09-13 17:16:30 chartsDataCollector died, spawning replacement...
2021-09-13 17:16:30 Daemon died, spawning replacement...
2021-09-13 17:16:31 Daemon died, spawning replacement...
2021-09-13 17:16:31 Daemon died, spawning replacement...
2021-09-13 17:16:33 chartsDataCollector died, spawning replacement...
2021-09-13 17:16:33 Daemon died, spawning replacement...
2021-09-13 17:16:35 Daemon died, spawning replacement...
2021-09-13 17:16:35 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:16:35 API died, spawning replacement...
2021-09-13 17:16:36 chartsDataCollector died, spawning replacement...
2021-09-13 17:16:36 Daemon died, spawning replacement...
2021-09-13 17:16:37 Daemon died, spawning replacement...
2021-09-13 17:16:37 Daemon died, spawning replacement...
2021-09-13 17:16:39 Daemon died, spawning replacement...
2021-09-13 17:16:40 chartsDataCollector died, spawning replacement...
2021-09-13 17:16:41 Daemon died, spawning replacement...
2021-09-13 17:16:42 API died, spawning replacement...
2021-09-13 17:16:42 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:16:42 Daemon died, spawning replacement...
2021-09-13 17:16:42 chartsDataCollector died, spawning replacement...
2021-09-13 17:16:43 Daemon died, spawning replacement...
2021-09-13 17:16:43 Daemon died, spawning replacement...
2021-09-13 17:16:44 Daemon died, spawning replacement...
2021-09-13 17:16:46 chartsDataCollector died, spawning replacement...
2021-09-13 17:16:46 Daemon died, spawning replacement...
2021-09-13 17:16:48 API died, spawning replacement...
2021-09-13 17:16:48 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:16:48 Daemon died, spawning replacement...
2021-09-13 17:16:49 chartsDataCollector died, spawning replacement...
2021-09-13 17:16:49 Daemon died, spawning replacement...
2021-09-13 17:16:50 Daemon died, spawning replacement...
2021-09-13 17:16:50 Daemon died, spawning replacement...
2021-09-13 17:16:52 Daemon died, spawning replacement...
2021-09-13 17:16:52 chartsDataCollector died, spawning replacement...
2021-09-13 17:16:54 Daemon died, spawning replacement...
2021-09-13 17:16:54 API died, spawning replacement...
2021-09-13 17:16:54 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:16:55 Daemon died, spawning replacement...
2021-09-13 17:16:55 chartsDataCollector died, spawning replacement...
2021-09-13 17:16:56 Daemon died, spawning replacement...
2021-09-13 17:16:56 Daemon died, spawning replacement...
2021-09-13 17:16:57 Daemon died, spawning replacement...
2021-09-13 17:16:59 chartsDataCollector died, spawning replacement...
2021-09-13 17:16:59 Daemon died, spawning replacement...
2021-09-13 17:17:00 API died, spawning replacement...
2021-09-13 17:17:01 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:17:01 Daemon died, spawning replacement...
2021-09-13 17:17:02 chartsDataCollector died, spawning replacement...
2021-09-13 17:17:02 Daemon died, spawning replacement...
2021-09-13 17:17:02 Daemon died, spawning replacement...
2021-09-13 17:17:03 Daemon died, spawning replacement...
2021-09-13 17:17:05 Daemon died, spawning replacement...
2021-09-13 17:17:05 chartsDataCollector died, spawning replacement...
2021-09-13 17:17:06 API died, spawning replacement...
2021-09-13 17:17:07 Daemon died, spawning replacement...
2021-09-13 17:17:07 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:17:07 Daemon died, spawning replacement...
2021-09-13 17:17:08 chartsDataCollector died, spawning replacement...
2021-09-13 17:17:08 Daemon died, spawning replacement...
2021-09-13 17:17:09 Daemon died, spawning replacement...
2021-09-13 17:17:10 Daemon died, spawning replacement...
2021-09-13 17:17:11 chartsDataCollector died, spawning replacement...
2021-09-13 17:17:12 Daemon died, spawning replacement...
2021-09-13 17:17:12 API died, spawning replacement...
2021-09-13 17:17:13 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:17:13 Daemon died, spawning replacement...
2021-09-13 17:17:14 Daemon died, spawning replacement...
2021-09-13 17:17:14 chartsDataCollector died, spawning replacement...
2021-09-13 17:17:15 Daemon died, spawning replacement...
2021-09-13 17:17:16 Daemon died, spawning replacement...
2021-09-13 17:17:18 chartsDataCollector died, spawning replacement...
2021-09-13 17:17:18 Daemon died, spawning replacement...
2021-09-13 17:17:18 API died, spawning replacement...
2021-09-13 17:17:19 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:17:19 Daemon died, spawning replacement...
2021-09-13 17:17:20 Daemon died, spawning replacement...
2021-09-13 17:17:20 Daemon died, spawning replacement...
